stop_id,lat,lon
0,45.4408363,12.3214728
0.1,45.4398088,12.3205554
0.2,45.4392705,12.3199224
0.3,45.4387962,12.3194182
0.4,45.4384311,12.3189247
1,45.4377122,12.3177928
1.1,45.4372643,12.3189247
1.2,45.4370384,12.3199224
2,45.4365039,12.3200619
2.1,45.4355553,12.3203301
2.2,45.4350848,12.3204803
2.3,45.4348853,12.3200297
2.4,45.4343432,12.3205447
2.5,45.4337785,12.3211026
2.6,45.4333494,12.3200619
2.7,45.4329278,12.3197079
2.8,45.4324836,12.3201585
2.9,45.4320243,12.3205984
3,45.4322351,12.3191392
3.1,45.4326869,12.3186672
3.2,45.4325363,12.3169613
3.3,45.432988,12.3166716
4,45.4326304,12.3155558
4.1,45.4332666,12.3170471
4.2,45.4339065,12.3166394
4.3,45.4337108,12.3156631
4.4,45.4333419,12.3140216
4.5,45.4330482,12.3136032
5,45.4330181,12.312777
5.1,45.4330332,12.3117578
6,45.4333682,12.3113716
6.1,45.432205,12.3116076
6.2,45.4319867,12.3130453
7,45.431422,12.3142791
7.1,45.4313919,12.3156416
7.2,45.4314596,12.3168862
7.3,45.4314822,12.3179001
7.4,45.431309,12.3193377
8,45.4309025,12.3202711
8.1,45.4306578,12.3215103
8.2,45.4302437,12.3234737
9,45.4298747,12.3248953
9.1,45.429246,12.3273522
9.2,45.4297128,12.3276955
9.3,45.4305373,12.3283017
10,45.4315311,12.328366
10.1,45.4316441,12.327615
10.2,45.4316403,12.3269337
10.3,45.4317533,12.3258609
11,45.4328901,12.3250455
11.2,45.4339329,12.3242891
11.1,45.4330934,12.3243803
11.3,45.4340307,12.3232967
12,45.4346218,12.3240477
12.1,45.4339818,12.3247612
12.2,45.4346556,12.325936
12.3,45.435544,12.3261613
13,45.4360183,12.3250669
13.1,45.4364926,12.3249167
13.2,45.4372793,12.3242408
13.3,45.4379305,12.3234093
13.4,45.4387887,12.3236668
13.5,45.4394512,12.3230177
14,45.4405917,12.3223633
14.1,45.4411901,12.3227119
